"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"131",325540095,1,6,12,2,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"132",325540096,3,6,16,1,1,0,0,0,0,0,0,0,0,0,0,3,0,"r3c1"
"133",325540097,7,8,169,6.25925925925926,2,0,0,0,0,1,0,0,0,0,0,6,0,"r3c1"
"134",325540098,3,6,18,1.5,1,0,0,0,0,0,0,0,0,0,0,3,0,"r3c1"
"135",325540100,14,11,5698,87.6615384615385,5,1,1,9,0,0,0,2,0,0,1,0,0,"r3c1"
"136",325540106,7,6,361,16.4090909090909,1,0,0,0,0,0,0,0,0,0,0,7,0,"r3c1"
"137",325540110,7,12,1893,59.15625,5,0,0,0,1,0,1,1,0,1,0,3,0,"r3c1"
"138",325540111,6,10,2240,64,2,0,0,0,5,0,0,0,0,0,1,0,0,"r3c1"
"139",325540112,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"140",325576233,2,5,28,3.5,1,0,0,0,0,0,0,0,0,0,0,2,0,"r3c1"
"141",325576235,3,4,84,10.5,3,1,0,0,0,1,0,0,0,0,0,1,0,"r3c1"
"142",325576236,1,2,180,90,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"143",325576244,11,5,542,16.4242424242424,3,0,0,0,0,0,0,0,2,1,0,8,0,"r3c1"
"144",325576248,5,5,18,1,1,0,0,0,0,0,0,0,0,0,0,5,0,"r3c1"
"145",325576249,7,7,32,1.14285714285714,1,0,0,0,0,0,0,0,0,0,0,7,0,"r3c1"
"146",325612371,41,13,20277,103.454081632653,10,3,3,3,4,1,0,9,2,5,6,5,0,"r3c1"
"147",325612372,467,16,235288,89.0904960242332,12,16,25,118,73,29,11,37,48,32,22,26,30,"r3c1"
"148",325612373,2,5,64,8,1,0,0,0,0,0,0,0,0,2,0,0,0,"r3c1"
"149",325612376,5,11,1124,44.96,4,0,0,0,1,0,0,0,0,1,0,1,2,"r3c1"
"150",325612382,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"151",325612383,70,12,48443,126.153645833333,9,0,8,27,6,2,0,0,11,10,3,2,1,"r3c1"
"152",325612385,4,7,17,1,1,0,0,0,0,0,0,0,0,0,0,4,0,"r3c1"
"153",325612387,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"154",325612388,6,9,1283,44.2413793103448,4,0,0,0,2,2,1,0,0,0,1,0,0,"r3c1"
"155",325612389,2,6,71,10.1428571428571,2,0,0,0,0,0,0,0,0,0,1,1,0,"r3c1"
"156",325648434,1,3,360,120,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"157",325648509,2,7,20,2,1,0,0,0,0,0,0,0,0,0,0,2,0,"r3c1"
"158",325648510,2,7,32,4,2,0,0,0,0,0,0,0,0,1,0,1,0,"r3c1"
"159",325648511,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"160",325648513,18,7,3198,53.3,3,0,1,0,0,0,0,16,0,0,0,1,0,"r3c1"
"161",325648514,5,7,537,29.8333333333333,2,0,0,0,0,0,1,0,0,0,0,4,0,"r3c1"
"162",325648515,1,1,120,120,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"163",325648516,1,2,110,55,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"164",325648521,8,3,560,24.3478260869565,2,0,1,7,0,0,0,0,0,0,0,0,0,"r3c1"
"165",325648522,4,8,19,1,1,0,0,0,0,0,0,0,0,0,0,4,0,"r3c1"
"166",325648523,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"167",325648524,18,11,4778,69.2463768115942,6,0,4,0,6,0,0,3,1,3,1,0,0,"r3c1"
"168",325648526,1,5,500,100,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"169",325684559,122,15,46823,138.529585798817,12,6,10,15,16,9,7,13,10,9,11,8,8,"r3c1"
"170",325684565,2,2,360,120,2,0,0,0,0,0,0,1,0,0,0,0,1,"r3c1"
"171",325684651,22,9,2841,28.41,5,1,0,0,14,0,0,2,0,0,1,4,0,"r3c1"
"172",325684652,1,5,450,90,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"173",325684654,9,12,4219,81.1346153846154,4,4,0,0,0,0,1,0,0,1,0,0,3,"r3c1"
"174",325684655,1,4,20,5,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"175",325684656,1,5,25,5,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"176",325684658,7,7,1764,36,1,0,0,0,7,0,0,0,0,0,0,0,0,"r3c1"
"177",325684659,9,9,1784,40.5454545454545,4,0,1,0,4,0,0,2,0,0,0,2,0,"r3c1"
"178",325684660,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"179",325684661,1,6,126,21,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"180",325684669,2,4,696,87,1,0,0,0,0,0,0,0,0,2,0,0,0,"r3c1"
"181",325684680,1,2,120,60,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"182",325720789,172,16,67274,82.4436274509804,12,15,17,11,27,6,5,33,17,17,9,9,6,"r3c1"
"183",325720793,5,6,105,5,1,0,0,0,0,0,0,0,0,0,0,5,0,"r3c1"
"184",325720794,1,9,540,60,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"185",325720795,2,7,610,67.7777777777778,2,0,0,0,0,0,0,0,1,0,0,1,0,"r3c1"
"186",325720796,5,10,1297,64.85,4,0,0,0,1,0,0,1,2,0,0,0,1,"r3c1"
"187",325720797,11,11,9977,146.720588235294,6,1,1,0,0,0,0,3,3,2,0,0,1,"r3c1"
"188",325720806,1,9,738,82,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"189",325720807,55,13,23072,98.1787234042553,11,3,2,11,7,7,1,3,2,0,6,11,2,"r3c1"
"190",325756834,7,2,207,29.5714285714286,2,0,0,1,6,0,0,0,0,0,0,0,0,"r3c1"
"191",325756931,5,7,105,5.83333333333333,2,0,0,0,0,0,0,0,0,0,1,4,0,"r3c1"
"192",325756932,1,9,2160,240,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"193",325756935,5,9,352,13.037037037037,3,1,0,0,0,1,0,0,0,0,3,0,0,"r3c1"
"194",325756936,2,5,280,46.6666666666667,2,0,0,0,1,0,0,0,0,0,1,0,0,"r3c1"
"195",325756944,4,6,250,31.25,3,1,0,0,0,1,0,0,0,2,0,0,0,"r3c1"
"196",325792971,31,8,5802,69.9036144578313,7,3,0,1,22,0,2,1,1,1,0,0,0,"r3c1"
"197",325793014,2,1,10,5,1,0,0,0,0,0,0,0,0,0,0,2,0,"r3c1"
"198",325793070,2,9,1695,113,2,0,0,0,0,0,0,1,0,1,0,0,0,"r3c1"
"199",325829210,4,10,840,35,3,0,1,0,0,0,0,0,0,1,0,0,2,"r3c1"
"200",325829211,2,4,90,12.8571428571429,1,2,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"201",325865349,92,13,28269,85.1475903614458,11,10,5,9,10,2,0,12,11,9,3,8,13,"r3c1"
"202",325865350,95,14,32397,81.3994974874372,12,7,7,1,10,2,5,13,7,13,12,6,12,"r3c1"
"203",325865351,411,13,230101,95.2010757136947,12,27,39,75,38,26,8,27,40,29,31,40,31,"r3c1"
"204",325901486,85,14,30745,61.0019841269841,11,5,9,9,5,21,0,4,11,6,3,7,5,"r3c1"
"205",325901487,73,12,15625,51.2295081967213,10,10,10,4,0,13,3,0,9,6,2,5,11,"r3c1"
"206",325901488,375,15,66672,59.5817694369973,12,19,54,22,34,36,21,45,23,43,32,26,20,"r3c1"
"207",325901489,34,12,8982,78.7894736842105,12,3,2,2,1,2,6,4,2,4,4,2,2,"r3c1"
"208",325937623,62,12,19292,99.4432989690722,12,2,2,1,1,8,4,4,8,8,9,10,5,"r3c1"
"209",325937624,64,13,42051,120.836206896552,12,4,13,3,1,2,2,7,4,6,10,7,5,"r3c1"
