"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","10","6","2","4","5","7","8","11","12","1","9","square"
"197",325540097,7,11,322,8.47368421052632,2,0,0,0,6,0,0,0,1,0,0,0,0,"r3c1"
"198",325540098,3,7,20,1.53846153846154,1,0,0,0,3,0,0,0,0,0,0,0,0,"r3c1"
"199",325540100,20,21,8001,74.0833333333333,5,0,2,15,0,1,1,0,0,0,0,1,0,"r3c1"
"200",325540106,7,9,483,18.5769230769231,1,0,0,0,7,0,0,0,0,0,0,0,0,"r3c1"
"201",325540110,7,21,3511,61.5964912280702,5,0,1,0,3,0,0,1,0,0,1,0,1,"r3c1"
"202",325540111,7,21,4245,70.75,2,0,0,0,0,0,0,5,0,0,0,2,0,"r3c1"
"203",325540112,1,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"204",325576233,2,7,30,3,1,0,0,0,2,0,0,0,0,0,0,0,0,"r3c1"
"205",325576235,4,8,163,12.5384615384615,4,1,0,0,1,1,0,0,1,0,0,0,0,"r3c1"
"206",325576236,1,6,540,90,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"207",325576244,11,7,729,17.780487804878,3,0,0,0,8,0,0,0,0,2,1,0,0,"r3c1"
"208",325576248,5,7,25,1,1,0,0,0,5,0,0,0,0,0,0,0,0,"r3c1"
"209",325576249,7,9,39,1.18181818181818,1,0,0,0,7,0,0,0,0,0,0,0,0,"r3c1"
"210",325612294,1,6,720,120,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"211",325612356,2,12,470,26.1111111111111,2,0,0,1,1,0,0,0,0,0,0,0,0,"r3c1"
"212",325612371,43,37,36531,102.041899441341,10,0,9,4,6,3,3,4,1,2,5,6,0,"r3c1"
"213",325612372,474,53,421807,90.4582886553721,12,30,37,118,26,17,25,73,29,53,32,23,11,"r3c1"
"214",325612373,2,8,89,8.09090909090909,1,0,0,0,0,0,0,0,0,0,2,0,0,"r3c1"
"215",325612376,6,19,1691,45.7027027027027,4,2,0,0,1,0,0,2,0,0,1,0,0,"r3c1"
"216",325612382,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"217",325612383,70,23,66778,123.43438077634,9,1,0,27,2,0,8,6,2,11,10,3,0,"r3c1"
"218",325612385,4,9,23,1,1,0,0,0,4,0,0,0,0,0,0,0,0,"r3c1"
"219",325612387,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"220",325612388,8,17,2494,48.9019607843137,5,0,1,0,0,0,0,2,2,0,0,1,2,"r3c1"
"221",325612389,2,13,162,9,2,0,0,0,1,0,0,0,0,0,0,1,0,"r3c1"
"222",325648432,1,4,180,45,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"223",325648434,1,8,960,120,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"224",325648509,2,8,23,2.09090909090909,1,0,0,0,2,0,0,0,0,0,0,0,0,"r3c1"
"225",325648510,2,7,32,4,2,0,0,0,1,0,0,0,0,0,1,0,0,"r3c1"
"226",325648511,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"227",325648513,18,15,9176,59.5844155844156,3,0,16,0,1,0,1,0,0,0,0,0,0,"r3c1"
"228",325648514,5,11,929,42.2272727272727,2,0,0,0,4,0,0,0,0,0,0,0,1,"r3c1"
"229",325648515,1,6,720,120,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"230",325648516,1,2,110,55,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"231",325648521,15,5,784,17.8181818181818,2,0,0,14,0,0,1,0,0,0,0,0,0,"r3c1"
"232",325648522,4,10,21,1,1,0,0,0,4,0,0,0,0,0,0,0,0,"r3c1"
"233",325648523,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
