"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"54888",197920349,54,88,28821,40.0848400556328,3,"r2c2AA"
"54889",197920353,12,33,2132,29.6111111111111,3,"r2c2AA"
"54890",197956268,18,69,17989,64.0177935943061,3,"r2c2AA"
"54891",197956269,4,54,12791,161.911392405063,3,"r2c2AA"
"54892",197956270,46,92,141744,132.347338935574,3,"r2c2AA"
"54893",197956274,1,6,24,4,1,"r2c2AA"
"54894",197956313,2,22,407,14.5357142857143,2,"r2c2AA"
"54895",197956321,1,14,2702,193,1,"r2c2AA"
"54896",197956328,4,27,338,10.5625,1,"r2c2AA"
"54897",197956344,12,74,23641,118.798994974874,3,"r2c2AA"
"54898",197956355,1,5,105,21,1,"r2c2AA"
"54899",197956365,1,32,320,10,1,"r2c2AA"
"54900",197956374,2,20,465,17.2222222222222,1,"r2c2AA"
"54901",197956377,1,12,240,20,1,"r2c2AA"
"54902",197956384,2,35,3402,75.6,2,"r2c2AA"
"54903",197956389,1,11,880,80,1,"r2c2AA"
"54904",197956390,1,9,108,12,1,"r2c2AA"
"54905",197956392,3,22,760,31.6666666666667,2,"r2c2AA"
"54906",197956393,28,41,14308,62.2086956521739,3,"r2c2AA"
"54907",197956404,12,56,38675,131.547619047619,1,"r2c2AA"
"54908",197956435,1,7,77,11,1,"r2c2AA"
"54909",197956436,1,18,2700,150,1,"r2c2AA"
"54910",197992347,1,4,60,15,1,"r2c2AA"
"54911",197992348,7,39,15175,136.711711711712,2,"r2c2AA"
"54912",197992349,11,49,4844,37.84375,3,"r2c2AA"
"54913",197992351,3,22,2000,68.9655172413793,2,"r2c2AA"
"54914",197992352,3,32,2169,55.6153846153846,2,"r2c2AA"
"54915",197992356,3,16,281,9.68965517241379,2,"r2c2AA"
"54916",197992362,1,3,60,20,1,"r2c2AA"
"54917",197992385,1,20,3300,165,1,"r2c2AA"
"54918",197992409,6,27,2195,34.8412698412698,2,"r2c2AA"
"54919",197992410,1,14,98,7,1,"r2c2AA"
"54920",197992433,8,45,3846,44.7209302325581,3,"r2c2AA"
"54921",197992434,2,3,9,3,1,"r2c2AA"
"54922",197992435,2,8,252,25.2,2,"r2c2AA"
"54923",197992437,54,107,178461,154.511688311688,3,"r2c2AA"
"54924",197992444,14,52,6470,43.7162162162162,3,"r2c2AA"
"54925",197992448,1,9,225,25,1,"r2c2AA"
"54926",197992457,1,1,4,4,1,"r2c2AA"
"54927",197992458,1,12,336,28,1,"r2c2AA"
"54928",197992469,10,23,628,10.1290322580645,2,"r2c2AA"
"54929",197992471,1,13,117,9,1,"r2c2AA"
"54930",197992472,2,26,1341,40.6363636363636,1,"r2c2AA"
"54931",197992513,1,20,580,29,1,"r2c2AA"
"54932",198028426,4,28,924,21,3,"r2c2AA"
"54933",198028433,5,53,9069,74.3360655737705,2,"r2c2AA"
"54934",198028434,2,11,88,6.28571428571429,2,"r2c2AA"
"54935",198028436,1,13,325,25,1,"r2c2AA"
"54936",198028452,8,36,8236,72.2456140350877,2,"r2c2AA"
"54937",198028475,8,44,8298,69.7310924369748,3,"r2c2AA"
