"X","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X7","X8","X9","X11","X5","X10","X3","X4","X2","X1","X12","square"
169823,302161152,1836,393,11080963,170.326990177844,12,83,190,184,68,205,93,97,188,34,211,240,243,"r2c2ABA"
316192,277047212,596,392,1799010,130.48596503953,12,50,19,13,48,50,108,55,83,39,41,47,43,"r2c2AA"
128818,306058196,1065,392,4388856,142.713101160862,12,53,63,60,69,129,118,153,94,36,93,98,99,"r2c2ABB"
390369,202465127,8430,391,14823262,68.0290689136102,12,189,213,294,429,639,643,471,1000,2326,991,753,482,"r2c1"
395916,209933914,7869,391,46222860,162.370633178186,12,126,60,66,112,1110,244,214,1204,901,1258,1490,1084,"r2c1"
303617,179155156,11146,390,64536574,141.451265326162,12,390,344,587,701,1156,660,1073,1410,875,1381,1449,1120,"r2c1"
317956,278346184,877,389,5040790,169.60935397039,12,17,50,15,24,154,50,64,93,37,129,107,137,"r2c2AA"
378071,195068657,7825,388,28038740,130.478893950887,12,60,36,60,80,118,745,196,538,5413,234,200,145,"r2c1"
111848,275135950,1584,388,2965537,109.956878012607,12,103,106,88,45,108,112,58,182,66,284,253,179,"r2c2ABB"
27729,214500946,3872,388,12687934,118.81200486937,12,29,18,23,125,703,59,550,294,294,288,423,1066,"r2c4"
383071,196547950,7879,387,24011446,111.269705044139,12,58,67,236,619,270,740,557,1052,3602,208,279,191,"r2c1"
10108,343944339,161,387,477899,145.081663630844,11,13,25,12,12,10,15,11,10,6,8,39,0,"r3c2"
301128,245980415,2230,385,7151585,121.213305084746,12,109,129,138,85,131,121,81,392,189,331,338,186,"r2c2AA"
316993,277805078,1090,385,2199357,109.753830031439,12,33,40,81,64,125,28,163,77,89,82,229,79,"r2c2AA"
319345,279176085,389,385,2247837,140.261886933733,12,15,12,38,29,19,45,40,10,20,71,34,56,"r2c2AA"
163522,284661028,1210,384,6387083,168.036911339121,12,59,92,36,89,92,65,116,192,66,151,140,112,"r2c2ABA"
168544,299779721,1560,384,3755372,116.344631018031,12,144,158,102,127,161,98,90,157,84,128,185,126,"r2c2ABA"
65340,191440153,594,383,1701944,98.4010175763182,12,9,6,5,18,114,2,37,25,5,165,135,73,"r2c3"
390231,202320751,1326,382,4632225,109.519221675809,12,19,24,64,151,116,106,92,101,371,93,119,70,"r2c1"
323391,281088420,948,382,5326781,164.696564944501,12,16,66,23,1,28,64,9,204,92,188,160,97,"r2c2AA"
46173,225397097,1023,382,6651486,161.998246425875,12,23,24,30,77,110,86,129,122,128,74,77,143,"r2c4"
323548,281160673,554,381,2497028,156.03499343873,12,19,27,46,13,55,32,88,133,72,22,19,28,"r2c2AA"
325539,283145183,708,381,4352457,175.254962754178,12,11,25,20,28,43,52,39,120,46,135,142,47,"r2c2AA"
111957,275316364,3510,381,6750747,126.354595990791,12,172,190,169,164,328,118,164,498,164,630,376,537,"r2c2ABB"
9496,342969551,1069,381,2423115,122.385726551846,12,14,22,120,31,171,26,157,74,80,130,131,113,"r3c2"
316144,277011126,946,380,2497878,119.167883211679,12,29,88,88,7,48,24,69,215,42,137,132,67,"r2c2AA"
228910,165587679,11600,379,16763004,64.4230405607951,12,165,261,333,758,4666,439,1116,456,338,388,516,2164,"r2c1"
390195,202284666,2921,379,8064824,102.314320511519,12,83,81,147,528,327,117,321,237,474,239,236,131,"r2c1"
316313,277155537,971,379,4234792,141.816817923043,12,106,84,51,51,65,57,37,81,79,115,168,77,"r2c2AA"
179139,323990414,530,379,1264141,124.521375098503,12,65,52,64,43,98,44,17,14,28,40,44,21,"r2c2ABA"
169836,322630252,349,379,1452636,151.568864774624,12,55,84,41,11,16,18,17,24,26,17,17,23,"r2c3"
7071,339217624,308,379,433749,104.922351233672,9,10,227,2,7,0,0,19,26,6,1,10,0,"r3c2"
13467,353325366,366,379,1453166,162.856214277709,12,32,43,49,31,52,31,25,16,11,12,28,36,"r3c2"
127871,151733922,8879,378,20552107,103.524546150591,12,765,427,507,622,694,1418,717,816,1131,490,666,626,"r2c1"
302957,248830832,4495,378,6499756,67.7156668680849,12,254,314,322,361,179,301,592,447,546,310,569,300,"r2c2AA"
317868,278310097,666,378,2400596,91.7168182165508,12,14,37,19,41,47,61,207,47,14,36,64,79,"r2c2AA"
322931,280835940,743,378,4067673,120.885405212636,12,33,32,47,81,68,63,140,51,63,39,55,71,"r2c2AA"
323237,280980326,159,378,1048403,153.544669009959,12,15,8,6,2,27,6,44,14,9,7,17,4,"r2c2AA"
52586,432167707,3270,378,4737794,90.7901655679902,12,274,290,230,174,186,490,123,407,457,279,252,108,"r3c2"
389012,201166199,3133,376,8924426,116.817974763077,12,20,17,22,118,168,72,73,707,877,429,401,229,"r2c1"
3264,329655504,343,376,649340,124.849067487022,11,6,24,16,16,21,58,16,4,0,60,14,108,"r3c2"
120714,297759288,1211,375,4700493,171.007858260268,12,89,89,90,96,191,78,122,75,89,40,76,176,"r2c2ABB"
23866,382155453,330,375,1023091,124.569706562766,12,10,19,26,52,23,36,66,30,13,22,20,13,"r3c2"
328354,286320736,3237,374,5273772,97.4440974852645,12,133,216,120,389,354,193,329,222,230,397,410,244,"r2c2AA"
