"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
11152190,3145,440,3887057,93.1969166586746,12,187,355,221,228,260,235,275,300,324,185,327,248,"r2c2AA"
11123325,1737,439,4123098,126.498680738786,12,85,104,163,56,106,99,102,223,267,121,220,191,"r2c2AA"
12956543,927,438,2834368,136.418539731434,12,89,108,68,83,176,47,54,91,22,43,82,64,"r2c2ABA"
15396354,255,438,1158295,148.404228058937,9,1,38,57,92,33,20,5,0,0,6,0,3,"r3c2"
11989530,6532,437,5381124,74.048768405119,12,184,1162,754,1173,237,161,419,859,883,216,326,158,"r2c2ABA"
7803450,20124,436,49121898,112.662578066049,12,147,207,146,283,346,1851,529,485,1180,13938,516,496,"r2c1"
8387926,17367,435,107488561,162.387334252871,12,261,220,198,353,2795,689,648,2359,2458,2283,3029,2074,"r2c1"
11195515,922,435,4473886,121.210674613926,12,12,132,28,279,56,70,159,57,38,47,27,17,"r2c2AA"
11397691,976,435,7201595,172.924050328963,12,48,20,77,50,73,123,97,126,127,43,133,59,"r2c2ABA"
12040067,1097,435,4752682,158.243390823733,12,42,65,66,84,126,120,66,67,78,78,163,142,"r2c2ABB"
15280628,397,435,852502,117.101923076923,11,47,79,31,26,24,81,27,0,12,36,6,28,"r3c2"
11448176,3771,434,12306966,130.399410885896,12,162,138,223,383,368,288,339,366,554,264,415,271,"r2c2AA"
11080019,972,433,2488626,114.246247073406,12,78,30,34,57,95,141,86,73,130,68,87,93,"r2c2AA"
11390452,2553,433,3513271,85.7313567593948,12,99,111,97,136,287,277,412,254,247,154,230,249,"r2c2ABA"
11231599,1818,432,6588554,109.595522065306,12,59,110,71,130,162,129,286,105,179,133,219,235,"r2c2AA"
13750420,557,432,1983931,148.331289719626,12,4,36,33,48,88,8,82,59,22,39,81,57,"r3c2"
11440898,2782,431,8387086,112.882892098144,12,61,58,72,30,292,220,128,579,418,189,526,209,"r2c2AA"
11116109,1387,429,2153550,89.055909354065,12,86,110,103,32,117,76,113,139,215,115,132,149,"r2c2AA"
12530865,366,429,1562698,145.056901513042,12,6,23,42,24,14,58,51,49,11,9,54,25,"r2c2ABB"
10127323,9368,428,19173237,102.944107082454,12,134,188,145,321,2579,182,3440,243,237,220,392,1287,"r2c2AA"
11108915,2158,428,3658938,102.230672515437,12,77,156,135,107,216,97,275,177,251,167,357,143,"r2c2AA"
11144977,843,428,4527449,155.550367621796,12,46,18,24,21,31,39,94,311,91,75,21,72,"r2c2AA"
15230115,365,428,851740,118.412345335743,12,22,22,28,37,40,31,30,55,17,22,51,10,"r3c2"
11173854,1871,427,5109962,136.988955015817,12,48,98,99,44,150,113,147,293,300,109,281,189,"r2c2AA"
