"","abslat","urban2","hemisphere","Contrast","conf.low","conf.high","p.value"
"120","slope","Suburban-Suburban","northern-southern",0.0580402759599578,0.0432323336000256,0.07284821831989,1.61244890030817e-14
"121","slope","Natural-Natural","northern-southern",0.0762591187564247,0.0685697887442785,0.0839484487685709,1.33172632020316e-83
"122","slope","Natural-Urban","northern-northern",-0.0264654269146736,-0.0326211343665777,-0.0203097194627696,3.72136939695831e-17
"123","slope","Natural-Urban","northern-southern",0.0171764631083057,0.00018960459480824,0.0341633216218032,0.0474972378621527
"124","slope","Natural-Suburban","northern-northern",-0.0130962361045097,-0.0181812446509025,-0.00801122755811685,4.49249286368549e-07
"125","slope","Natural-Suburban","northern-southern",0.041237348320296,0.0268669019388544,0.0556077947017376,1.87809668923007e-08
"126","slope","Natural-Urban","southern-northern",-0.102724545671098,-0.111744417962004,-0.0937046733801928,2.13426152660234e-109
"127","slope","Natural-Urban","southern-southern",-0.059082655648119,-0.0772756957251799,-0.040889615571058,1.97941728504195e-10
"128","slope","Natural-Suburban","southern-northern",-0.0893553548609343,-0.0976917640079924,-0.0810189457138763,3.18261129066406e-97
"129","slope","Natural-Suburban","southern-southern",-0.0350217704361287,-0.0507943292527385,-0.0192492116195189,1.35301852226338e-05
"130","slope","Urban-Urban","northern-southern",0.0436418900229793,0.0260121376702674,0.0612716423756913,1.22869186575934e-06
"131","slope","Urban-Suburban","northern-northern",0.013369190810164,0.00642641700101435,0.0203119646193136,0.000160779874852254
"132","slope","Urban-Suburban","northern-southern",0.0677027752349696,0.0525783444142854,0.0828272060556538,1.82372459215714e-18
"133","slope","Urban-Suburban","southern-northern",-0.0302726992128154,-0.0475603497366508,-0.01298504868898,0.000599419489307239
"134","slope","Urban-Suburban","southern-southern",0.0240608852119903,0.00218934586010348,0.0459324245638771,0.0310726672331725
"135","slope","Suburban-Suburban","northern-southern",0.0543335844248056,0.039607515843724,0.0690596530058873,4.89019715696905e-13
"136","slope","Natural-Natural","northern-southern",0.0763437730408924,0.068631389813496,0.0840561562682888,2.68923110604383e-83
"137","slope","Natural-Urban","northern-northern",-0.029477505257204,-0.0356529289958087,-0.0233020815185993,8.89387696005098e-21
"138","slope","Natural-Urban","northern-southern",0.0237266865907242,0.00668733465238138,0.040766038529067,0.00635094726716983
"139","slope","Natural-Suburban","northern-northern",-0.0141274134511666,-0.0192275315296363,-0.00902729537269692,5.70337363147144e-08
"140","slope","Natural-Suburban","northern-southern",0.0444225563203465,0.0300072065112103,0.0588379061294826,1.55987076899941e-09
"141","slope","Natural-Urban","southern-northern",-0.105821278298096,-0.114869429710984,-0.0967731268852085,3.32035189055041e-115
"142","slope","Natural-Urban","southern-southern",-0.0526170864501682,-0.0708665115321096,-0.0343676613682269,1.60865925576883e-08
"143","slope","Natural-Suburban","southern-northern",-0.090471186492059,-0.0988323554126793,-0.0821100175714388,5.01719688798039e-99
"144","slope","Natural-Suburban","southern-southern",-0.0319212167205459,-0.0477427422678762,-0.0160996911732156,7.68682339780808e-05
"145","slope","Urban-Urban","northern-southern",0.0532041918479282,0.0355201818140153,0.070888201881841,3.74482271940356e-09
"146","slope","Urban-Suburban","northern-northern",0.0153500918060374,0.00838635041262958,0.0223138331994452,1.56213819089665e-05
"147","slope","Urban-Suburban","northern-southern",0.0739000615775505,0.0587280880834708,0.0890720350716302,1.44174768614963e-21
"148","slope","Urban-Suburban","southern-northern",-0.0378541000418908,-0.055194744648979,-0.0205134554348026,1.88600844906935e-05
"149","slope","Urban-Suburban","southern-southern",0.0206958697296223,-0.00124398150832201,0.0426357209675666,0.0644806436572815
"150","slope","Suburban-Suburban","northern-southern",0.0585499697715131,0.0437773557726894,0.0733225837703368,8.22055767910965e-15
"151","slope","Natural-Natural","northern-southern",0.0747265980325869,0.06701813952466,0.0824350565405137,5.50347906675218e-80
"152","slope","Natural-Urban","northern-northern",-0.0279482038906712,-0.0341196638712926,-0.0217767439100498,7.32417350500931e-19
"153","slope","Natural-Urban","northern-southern",0.0205386962926536,0.00350841225520226,0.0375689803301049,0.018093516821062
"154","slope","Natural-Suburban","northern-northern",-0.013716335218903,-0.018813785986106,-0.00861888445170001,1.34388446314317e-07
"155","slope","Natural-Suburban","northern-southern",0.039681383253421,0.0252762546396158,0.0540865118672262,6.746120008889e-08
"156","slope","Natural-Urban","southern-northern",-0.102674801923258,-0.111718200382922,-0.0936314034635936,9.66229459406938e-109
"157","slope","Natural-Urban","southern-southern",-0.0541879017399333,-0.0724278112455487,-0.0359479922343179,5.84464679222971e-09
"158","slope","Natural-Suburban","southern-northern",-0.0884429332514898,-0.0967995593418007,-0.080086307161179,7.44061280067821e-95
"159","slope","Natural-Suburban","southern-southern",-0.0350452147791658,-0.0508568611215579,-0.0192335684367737,1.40229453448685e-05
"160","slope","Urban-Urban","northern-southern",0.0484869001833248,0.0308121140535629,0.0661616863130867,7.63712092212138e-08
"161","slope","Urban-Suburban","northern-northern",0.0142318686717682,0.00727223673659058,0.0211915006069459,6.13609475886477e-05
"162","slope","Urban-Suburban","northern-southern",0.0676295871440923,0.0524681033139078,0.0827910709742767,2.39702145912956e-18
"163","slope","Urban-Suburban","southern-northern",-0.0342550315115566,-0.0515869862452262,-0.016923076777887,0.000107373866303559
"164","slope","Urban-Suburban","southern-southern",0.0191426869607675,-0.00278378416054376,0.0410691580820787,0.0870550277654657
"165","slope","Suburban-Suburban","northern-southern",0.053397718472324,0.038635966226485,0.068159470718163,1.37276461170013e-12
"166","slope","Natural-Natural","northern-southern",0.0758907684824706,0.0681843727595789,0.0835971642053624,1.82853250683899e-82
"167","slope","Natural-Urban","northern-northern",-0.0251788458868958,-0.0313494982109814,-0.0190081935628102,1.31611085527319e-15
"168","slope","Natural-Urban","northern-southern",0.0190456725527923,0.00202041718008605,0.0360709279254985,0.0283407550108284
"169","slope","Natural-Suburban","northern-northern",-0.0136541351444576,-0.018750592263398,-0.0085576780255172,1.52196135473707e-07
"170","slope","Natural-Suburban","northern-southern",0.0433811263207976,0.0289721990842941,0.0577900535573012,3.65237019789022e-09
