"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1598","urban2","Suburban","Suburban",105.76594990681,0,Inf,103.392301420833,108.166536792389
"1599","urban2","Urban","Urban",93.5476090277296,0,Inf,90.7536374107456,96.3839391534496
"1600","urban2","Natural","Natural",129.057080487415,0,Inf,127.657525253288,130.464265865539
"1601","urban2","Suburban","Suburban",105.994664979037,0,Inf,103.590098938695,108.42681951396
"1602","urban2","Urban","Urban",91.5171867362821,0,Inf,88.788953112561,94.28670395021
"1603","urban2","Natural","Natural",128.209047653957,0,Inf,126.824343126814,129.601270493712
"1604","urban2","Suburban","Suburban",105.006249390561,0,Inf,102.581696593822,107.459121060662
"1605","urban2","Urban","Urban",92.6837838327953,0,Inf,89.9009583367798,95.5090256196502
"1606","urban2","Natural","Natural",128.423944332042,0,Inf,127.021471851104,129.834116868482
"1607","urban2","Suburban","Suburban",105.049389321301,0,Inf,102.599323206719,107.528364995848
"1608","urban2","Urban","Urban",92.7486303816026,0,Inf,90.0772257265657,95.4590710019812
"1609","urban2","Natural","Natural",128.798598727022,0,Inf,127.40310861658,130.201689907389
"1610","urban2","Suburban","Suburban",106.427322750137,0,Inf,104.020454953201,108.861718526235
"1611","urban2","Urban","Urban",91.6845302627573,0,Inf,88.9558221737333,94.4544598869389
"1612","urban2","Natural","Natural",128.891463118281,0,Inf,127.493228799727,130.297322984726
"1613","urban2","Suburban","Suburban",106.654906388728,0,Inf,104.218341769549,109.119625576421
"1614","urban2","Urban","Urban",92.2705603874959,0,Inf,89.5331327731467,95.0492079274917
"1615","urban2","Natural","Natural",128.864039451319,0,Inf,127.467011390638,130.268681501368
"1616","urban2","Suburban","Suburban",105.390321021085,0,Inf,103.01235958392,107.795416872496
"1617","urban2","Urban","Urban",92.5557318726003,0,Inf,89.803082679544,95.3499338102073
"1618","urban2","Natural","Natural",129.021872900731,0,Inf,127.622594272347,130.428780741826
"1619","urban2","Suburban","Suburban",106.674317393501,0,Inf,104.251414021904,109.125053568498
"1620","urban2","Urban","Urban",93.7307649413938,0,Inf,90.9359754045946,96.5678538974095
"1621","urban2","Natural","Natural",128.921096011503,0,Inf,127.519563430512,130.330288486397
"1622","urban2","Suburban","Suburban",106.845722057517,0,Inf,104.451879743549,109.266685668018
"1623","urban2","Urban","Urban",92.7021577903599,0,Inf,89.9589075814539,95.4866091500259
"1624","urban2","Natural","Natural",128.787260441302,0,Inf,127.389842280017,130.192301422986
"1625","urban2","Suburban","Suburban",106.030609169793,0,Inf,103.630310085318,108.458388933605
"1626","urban2","Urban","Urban",92.7208814842323,0,Inf,89.9676461820642,95.5156121949692
"1627","urban2","Natural","Natural",129.442840071741,0,Inf,128.039412483131,130.853917211361
"1628","urban2","Suburban","Suburban",107.408492899279,0,Inf,104.97889144019,109.865888647557
"1629","urban2","Urban","Urban",94.0678491390538,0,Inf,91.3062620309234,96.8705789207083
"1630","urban2","Natural","Natural",129.051264244691,0,Inf,127.65337779504,130.456762948633
"1631","urban2","Suburban","Suburban",106.364012273212,0,Inf,103.945292985152,108.810549619289
"1632","urban2","Urban","Urban",92.4919867059248,0,Inf,89.7592553623771,95.2656957695946
"1633","urban2","Natural","Natural",129.060911939225,0,Inf,127.656419729391,130.473088137965
"1634","urban2","Suburban","Suburban",105.787384303586,0,Inf,103.405324919673,108.196568872088
"1635","urban2","Urban","Urban",95.5843970001527,0,Inf,92.7546986532757,98.4566125133881
"1636","urban2","Natural","Natural",128.964241187722,0,Inf,127.572387361731,130.363646650065
"1637","urban2","Suburban","Suburban",106.687324289348,0,Inf,104.269181479006,109.13318658965
"1638","urban2","Urban","Urban",93.6931197793956,0,Inf,90.9107356072657,96.517442953206
"1639","urban2","Natural","Natural",128.494008661589,0,Inf,127.098012994213,129.897629052244
"1640","urban2","Suburban","Suburban",105.942016475953,0,Inf,103.546821304885,108.364598058021
"1641","urban2","Urban","Urban",92.6259354814022,0,Inf,89.8188546649619,95.476208373059
"1642","urban2","Natural","Natural",128.631171164143,0,Inf,127.238208054671,130.03171767655
"1643","urban2","Suburban","Suburban",106.74875644848,0,Inf,104.318333184283,109.207166799971
