"","abslat","urban2","Slope","conf.low","conf.high","p.value"
"56","slope","urban",-0.00105138737654821,-0.00110753656726412,-0.000995238185832294,6.45663015878514e-287
"57","slope","suburban",-0.000996017227263659,-0.00104234096225798,-0.000949693492269339,0
"58","slope","natural",-0.00111033764509435,-0.00113995681596091,-0.00108071847422779,0
"59","slope","urban",-0.00105134794399518,-0.00110749641317371,-0.000995199474816648,6.66297122524981e-287
"60","slope","suburban",-0.000988690470662575,-0.00103508869389428,-0.000942292247430873,0
"61","slope","natural",-0.00110324678266768,-0.00113300235814036,-0.001073491207195,0
"62","slope","urban",-0.00105208180196297,-0.00110801683796654,-0.000996146765959398,2.07048276560729e-289
"63","slope","suburban",-0.00100640077617947,-0.00105270986335118,-0.000960091689007765,0
"64","slope","natural",-0.00111274351580277,-0.00114244405502621,-0.00108304297657933,0
"65","slope","urban",-0.00104956270047044,-0.00110541053819506,-0.000993714862745828,6.0747541428238e-289
"66","slope","suburban",-0.000999784821922393,-0.00104620845657006,-0.000953361187274728,0
"67","slope","natural",-0.00111136792025859,-0.00114112500667123,-0.00108161083384594,0
"68","slope","urban",-0.00103265748999686,-0.00108904465914274,-0.000976270320850976,7.22959996257718e-275
"69","slope","suburban",-0.000994429669798459,-0.00104082203469934,-0.000948037304897577,0
"70","slope","natural",-0.00111824024749517,-0.00114795000418625,-0.00108853049080409,0
"71","slope","urban",-0.00103229667154389,-0.00108863917815283,-0.000975954164934956,4.20426285847133e-275
"72","slope","suburban",-0.000991339296815718,-0.00103764034179149,-0.000945038251839946,0
"73","slope","natural",-0.00110485589830782,-0.00113463051629106,-0.00107508128032458,0
"74","slope","urban",-0.00105121045138186,-0.00110737774457089,-0.000995043158192839,1.20713983158363e-286
"75","slope","suburban",-0.000996310986845979,-0.00104309090740722,-0.000949531066284734,0
"76","slope","natural",-0.00111932695522559,-0.00114922416893422,-0.00108942974151696,0
"77","slope","urban",-0.00106775660904368,-0.00112408793675824,-0.00101142528132912,9.2258747408187e-294
"78","slope","suburban",-0.000992904537661877,-0.00103948052187827,-0.000946328553445488,0
"79","slope","natural",-0.00111463210623045,-0.00114436830248904,-0.00108489590997185,0
"80","slope","urban",-0.00105989080468409,-0.00111610385069832,-0.00100367775866986,8.93237757412384e-291
"81","slope","suburban",-0.000996083869741825,-0.00104272069093856,-0.00094944704854509,0
"82","slope","natural",-0.00111158843207646,-0.00114124353537133,-0.0010819333287816,0
"83","slope","urban",-0.0010454564463279,-0.00110122857813931,-0.000989684314516494,1.62336957258903e-287
"84","slope","suburban",-0.00100348016659191,-0.00104975086222665,-0.000957209470957169,0
"85","slope","natural",-0.00111167065309977,-0.00114136523770153,-0.00108197606849802,0
"86","slope","urban",-0.00104386745259745,-0.00110037299675349,-0.000987361908441409,1.57933237811252e-279
"87","slope","suburban",-0.000999649856160835,-0.00104622045812286,-0.000953079254198807,0
"88","slope","natural",-0.0011073122963836,-0.00113706162272945,-0.00107756297003775,0
"89","slope","urban",-0.00105411181652763,-0.00111059152052745,-0.000997632112527806,4.19333006035213e-285
"90","slope","suburban",-0.000976009152494525,-0.0010224403510932,-0.000929577953895846,0
"91","slope","natural",-0.00110559498527359,-0.00113521808176812,-0.00107597188877906,0
"92","slope","urban",-0.00104837288207097,-0.00110469470907581,-0.000992051055066123,1.21267308701662e-283
